"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"2643.75","9976","Guwahati [Dispur]","3339","990","100","3346","10"
"131.08","12141","Guangzhou","346","8","100","1289","5"
"35.97","101","Portland","119","5","100","92202","4"
"882.77","347","San Pedro Sula","1551","82","100","1556","10"
"934.43","589","Cartagena","1453","142","100","1496","13"
"477.79","468","Quito","2007","23","100","2788","6"
"27.32","1684","Málaga","127","1","100","4328","4"
"7.63","903","Philadelphia","57","1","100","86295","2"
"10.21","904","Oshawa","51","1","100","9317","2"
"2366.91","906","Viña del Mar [Valparaíso]","6269","162","100","6375","6"
"344.93","1329","Sao Jose dos Campos","1065","41","100","1521","7"
"3169.6","907","Río Piedras [San Juan]","5885","200","100","6159","11"
"1083.95","8896","Colombo","2738","252","100","3588","7"
"8729.12","8099","Bengaluru","23606","1777","100","33866","6"
"2579.66","351","Oklahoma City","9023","81","100","10171","5"
"357.02","352","Mérida","1841","28","100","5228","7"
"677.93","474","Havana","2078","123","100","4497","9"
"605.26","5939","Abu Dhabi","1537","33","100","1651","4"
"466.23","475","Des Moines","1797","6","100","5351","3"
"727.33","234","Nuevo Laredo","1961","11","100","2159","8"
"7160.67","597","Palm Bay","13250","286","100","13265","6"
"90.68","598","Jacksonville","453","3","100","6068","4"
"1591.26","9180","Visakhapatnam","3444","143","100","3490","4"
"46.31","1575","Porto","254","2","100","8310","4"
"35.26","239","McAllen","170","2","100","10092","7"
"964.9","13125","Christchurch","1886","7","100","1897","3"
"382.57","8527","Vellore","1144","13","100","1307","2"
"3.69","915","Rochester","13","1","100","13398","2"
"3784.85","10774","Bangkok","5060","1151","100","5061","9"
"20726.34","10","San Jose","111069","17","100","165147","5"
"1137.19","13129","Gold Coast","1907","276","100","1924","11"
"1362.77","918","Allentown","4715","16","100","11346","3"
"56.59","919","Concepción","251","4","100","1245","4"
"3439.47","9752","Kolkata","7066","877","100","7482","10"
"555.69","7332","Sangli","1098","18","100","1099","4"
"793.24","5155","Addis Ababa","1091","245","100","1094","11"
"35.8","19","Concord","125","5","100","16861","4"
"532.25","2320","Cologne","1089","7","100","1096","5"
"5679.17","361","Tegucigalpa","10536","249","100","10736","9"
"34.5","241","Spokane","187","2","100","2671","3"
"3923.58","364","Calgary","18638","185","100","36482","4"
"108.76","3528","Kyiv","426","4","100","1295","4"
"667.89","1","Honolulu","3282","17","100","5149","3"
"218.0","10745","Beijing","989","22","100","3640","4"
"6611.21","488","St. Louis","17007","299","100","24044","4"
"203.63","369","Managua","736","23","100","1567","9"
"427.23","1223","Porto Alegre","1269","15","100","1348","7"
"2873.29","8","Oxnard","5755","291","100","5792","7"
"1133.52","5945","Dubai","2142","273","100","2332","7"
"1715.69","20","Ensenada","2534","304","100","2543","6"
"54596.63","21","Tijuana","95449","3789","100","95573","8"
"784.96","7343","Bhusawal","2077","19","100","2458","3"
"809.07","29","Bakersfield","1524","8","100","1539","4"
"659.98","1122","La Plata","2742","14","100","7280","6"
"292.39","250","San Antonio","966","15","100","18301","6"
"706.64","255","Villahermosa","1360","103","100","1387","9"
"128.53","139","Seattle","423","5","100","151318","4"
"1230.09","3412","Minsk","2267","46","100","2267","4"
"1366.22","1919","London","6732","15","100","26147","5"
"1057.86","1918","Valencia","2301","23","100","2315","5"
"7350.97","936","Santiago","14912","130","100","15151","6"
"163.18","6803","Chandigarh","546","23","100","1974","5"
"332.03","32","Palmdale","1213","2","100","2954","4"
"981.37","34","Stockton","2847","13","100","2947","4"
"1999.46","35","Modesto","4370","70","100","4380","4"
"1419.88","8565","Raipur","2996","56","100","3006","4"
"1188.67","7236","Panaji","1600","470","100","1602","8"
"1419.95","7235","Indore","2703","178","100","2713","5"
"1405.36","9535","Bhubaneshwar","2039","250","100","2040","9"
"1556.62","3430","Athens","3179","128","100","3217","4"
"36.65","385","Wichita","198","1","100","2962","4"
"624.83","143","Ciudad Juárez","1356","42","100","1392","6"
"5.45","1009","Springfield","25","1","100","2408","2"
"81.34","387","Tulsa","321","3","100","5810","4"
"4060.0","266","Colorado Springs","10538","182","100","12469","6"
"4450.32","7909","Thrissur","6644","668","100","6744","8"
"895.68","1247","Curitiba","1274","249","100","1275","11"
"2274.7","1367","Rio de Janeiro","3056","611","100","3060","12"
"1069.84","821","Santo Domingo","1966","280","100","2206","9"
"573.24","2455","Frankfurt am Main","1160","35","100","1195","5"
"5.97","1002","Hartford","26","1","100","3735","2"
"2886.51","1123","Ciudad del Este","4215","831","100","4242","10"
"6.66","824","Pittsburgh","24","1","100","23669","2"
"737.75","12349","Sha Tin","1352","50","100","1376","6"
"11.87","706","Dayton","73","1","100","6688","2"
"467.14","46","Fresno","1986","1","100","4156","4"
"3732.3","8331","Salem","7108","58","100","7131","2"
"454.29","49","Sacramento","2298","11","100","38368","4"
"1146.75","3684","Johannesburg","3189","9","100","3679","7"
"42096.55","1022","Montreal","82879","667","100","82955","3"
"529.15","1143","Montevideo","1921","38","100","2198","7"
"1019.54","2473","Zurich","1832","155","100","1834","5"
"49648.86","273","Denver","100871","8857","100","100890","6"
"10703.88","394","San José","15444","2141","100","15764","13"
