"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"4.04","9976","Guwahati [Dispur]","20","1","100","3346","1"
"0.0","12141","Guangzhou","0","0","100","1289","0"
"8.24","101","Portland","46","1","100","92202","1"
"4.88","347","San Pedro Sula","26","1","100","1556","4"
"10.62","589","Cartagena","44","1","100","1496","5"
"6.02","468","Quito","23","1","100","2788","2"
"7.66","1684","Málaga","34","1","100","4328","3"
"6.51","903","Philadelphia","30","1","100","86295","2"
"9.95","904","Oshawa","47","1","100","9317","2"
"7.41","906","Viña del Mar [Valparaíso]","37","1","100","6375","2"
"5.89","1329","Sao Jose dos Campos","21","1","100","1521","4"
"4.47","907","Río Piedras [San Juan]","15","1","100","6159","5"
"5.04","8896","Colombo","16","1","100","3588","2"
"1.34","8099","Bengaluru","4","1","100","33866","1"
"11.72","351","Oklahoma City","51","1","100","10171","4"
"7.55","352","Mérida","23","1","100","5228","4"
"8.11","474","Havana","29","1","100","4497","4"
"2.13","5939","Abu Dhabi","9","1","100","1651","2"
"2.89","475","Des Moines","10","1","100","5351","1"
"9.02","234","Nuevo Laredo","34","1","100","2159","6"
"5.09","597","Palm Bay","21","1","100","13265","3"
"9.45","598","Jacksonville","47","1","100","6068","2"
"1.12","9180","Visakhapatnam","3","1","100","3490","1"
"3.36","1575","Porto","15","1","100","8310","3"
"11.53","239","McAllen","45","2","100","10092","6"
"8.4","13125","Christchurch","36","1","100","1897","2"
"1.66","8527","Vellore","7","1","100","1307","1"
"4.47","915","Rochester","18","1","100","13398","2"
"5.83","10774","Bangkok","21","1","100","5061","4"
"5.55","10","San Jose","25","1","100","165147","2"
"10.94","13129","Gold Coast","48","1","100","1924","3"
"1.71","918","Allentown","8","1","100","11346","1"
"1.96","919","Concepción","9","1","100","1245","1"
"8.99","9752","Kolkata","47","1","100","7482","3"
"2.29","7332","Sangli","9","1","100","1099","1"
"7.07","5155","Addis Ababa","34","1","100","1094","4"
"4.06","19","Concord","15","1","100","16861","2"
"7.34","2320","Cologne","33","1","100","1096","2"
"4.58","361","Tegucigalpa","17","1","100","10736","4"
"5.5","241","Spokane","26","1","100","2671","1"
"5.21","364","Calgary","25","1","100","36482","1"
"5.34","3528","Kyiv","24","1","100","1295","2"
"3.32","1","Honolulu","20","1","100","5149","2"
"10.57","10745","Beijing","48","2","100","3640","2"
"7.21","488","St. Louis","43","1","100","24044","2"
"10.52","369","Managua","32","2","100","1567","6"
"4.96","1223","Porto Alegre","21","1","100","1348","3"
"8.8","8","Oxnard","34","2","100","5792","3"
"3.73","5945","Dubai","19","1","100","2332","2"
"2.94","20","Ensenada","15","1","100","2543","2"
"8.47","21","Tijuana","55","1","100","95573","3"
"1.2","7343","Bhusawal","4","1","100","2458","1"
"4.75","29","Bakersfield","16","1","100","1539","3"
"1.25","1122","La Plata","4","1","100","7280","3"
"12.35","250","San Antonio","35","1","100","18301","4"
"11.42","255","Villahermosa","52","2","100","1387","6"
"5.26","139","Seattle","23","1","100","151318","1"
"4.77","3412","Minsk","17","1","100","2267","2"
"8.71","1919","London","33","1","100","26147","4"
"2.49","1918","Valencia","9","1","100","2315","3"
"1.76","936","Santiago","5","1","100","15151","2"
"6.14","6803","Chandigarh","26","1","100","1974","3"
"6.89","32","Palmdale","30","1","100","2954","3"
"4.77","34","Stockton","19","1","100","2947","3"
"5.0","35","Modesto","23","1","100","4380","3"
"3.18","8565","Raipur","15","1","100","3006","2"
"2.29","7236","Panaji","13","1","100","1602","1"
"1.22","7235","Indore","3","1","100","2713","1"
"1.04","9535","Bhubaneshwar","2","1","100","2040","1"
"2.31","3430","Athens","7","1","100","3217","2"
"9.32","385","Wichita","46","1","100","2962","2"
"7.99","143","Ciudad Juárez","44","1","100","1392","5"
"5.55","1009","Springfield","23","1","100","2408","2"
"2.32","387","Tulsa","10","1","100","5810","1"
"6.98","266","Colorado Springs","27","1","100","12469","4"
"3.18","7909","Thrissur","15","1","100","6744","1"
"6.37","1247","Curitiba","23","1","100","1275","4"
"6.82","1367","Rio de Janeiro","29","1","100","3060","3"
"4.85","821","Santo Domingo","16","1","100","2206","4"
"3.01","2455","Frankfurt am Main","11","1","100","1195","2"
"5.89","1002","Hartford","27","1","100","3735","2"
